i=2	j=20	2491.777120
i=2	j=21	2505.708953
i=2	j=22	2516.538053
i=2	j=23	2479.958832
i=2	j=24	2487.792715
i=2	j=25	2493.079598
i=2	j=26	2524.503499
i=2	j=27	2487.072957
i=2	j=28	2518.279510
i=2	j=29	2505.641705
i=2	j=30	2480.193303
i=2	j=31	2514.674923
i=2	j=32	2488.858077
i=2	j=33	2488.196667
i=2	j=34	2498.555278
i=2	j=35	2501.478549
i=2	j=36	2486.494456
i=2	j=37	2510.238665
i=2	j=38	2498.360804
i=2	j=39	2486.814406
i=2	j=40	2507.458703
i=2	j=41	2493.013843
i=2	j=42	2464.257131
i=2	j=43	2489.294028
i=2	j=44	2502.651611
i=2	j=45	2526.256535
i=2	j=46	2471.765124
i=2	j=47	2493.504148
i=2	j=48	2495.541240
i=2	j=49	2506.067540
i=2	j=50	2481.965440
i=2	j=51	2542.093281
i=2	j=52	2481.512229
i=2	j=53	2511.549028
i=2	j=54	2516.792647
i=2	j=55	2493.170911
i=2	j=56	2464.015511
i=2	j=57	2506.527017
i=2	j=58	2500.639041
i=2	j=59	2499.060385
i=2	j=60	2525.270186
i=2	j=61	2493.079677
i=2	j=62	2517.599053
i=2	j=63	2485.816952
i=3	j=0	2428.602746
i=3	j=1	2486.668562
i=3	j=10	2479.770451
i=3	j=11	2487.766518
i=3	j=12	2474.045970
i=3	j=13	2483.744340
i=3	j=14	2468.058069
i=3	j=15	2502.135488
i=3	j=16	2532.502910
i=3	j=17	2487.666206
i=3	j=18	2493.443352
i=3	j=19	2463.346886
i=3	j=2	2460.893761
i=3	j=20	2485.911900
i=3	j=21	2496.339328
i=3	j=22	2490.091604
i=3	j=23	2457.224849
i=3	j=24	2467.884453
i=3	j=25	2479.309993
i=3	j=26	2504.603437
i=3	j=27	2480.801295
i=3	j=28	2503.887735
i=3	j=29	2496.722483
i=3	j=3	2528.785450
i=3	j=30	2463.754365
i=3	j=31	2504.612022
i=3	j=32	2481.389061
i=3	j=33	2482.282921
i=3	j=34	2489.564527
i=3	j=35	2488.660332
i=3	j=36	2486.447172
i=3	j=37	2493.379740
i=3	j=38	2481.436401
i=3	j=39	2473.138936
i=3	j=4	2483.529372
i=3	j=40	2498.854879
i=3	j=41	2486.034078
i=3	j=42	2459.348115
i=3	j=43	2482.234726
i=3	j=44	2491.496978
i=3	j=45	2505.301414
i=3	j=46	2456.708064
i=3	j=47	2495.429301
i=3	j=48	2475.843388
i=3	j=49	2496.790318
i=3	j=5	2474.167105
i=3	j=50	2458.728398
i=3	j=51	2528.119418
i=3	j=52	2462.277979
i=3	j=53	2488.729181
i=3	j=6	2479.412604
i=3	j=7	2470.420596
i=3	j=8	2498.642633
i=3	j=9	2485.976017
